utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1717085141832,59422000000,18,32650247.658998813,-1401120300410999808,0.0,341.60127158129256,-1667.979981487313,0.0,0,28,0.0,47,403559763182127,1797,12.0,-134.93403310476037,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,12.0,0.0,0.0,0.0,66.7128,C,
1717085141832,59422000000,18,32650247.658998813,-1401120300410999808,0.0,341.60127158129256,-1667.979981487313,0.0,0,32,0.0,47,403559757173995,396,23.628000259399414,-250.25789903942822,0.14999,16,0.0,0.0,1575420030,,,,0,2.07081183814139,1,6.0,23.628000259399414,0.0,0.0,0.0,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,31,0.0,47,403560766492282,316,24.222999572753906,-509.94337218837995,0.14999,16,0.0,0.0,1575420030,,,,0,3.90900413683893,1,6.0,24.222999572753906,0.0,0.0,0.0,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,10,0.0,47,403560758702792,487,18.930999755859375,-1.987026461324723,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,18.930999755859375,0.0,0.0,0.0,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,4,0.0,17,550687,487,18.399999618530273,-432.61269494135576,0.14999,16,0.0,0.0,1605374980,,,,0,0.6309359324959335,3,6.0,18.399999618530273,0.0,0.0,29.252712987784907,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,14,0.0,17,944331,487,19.0,-17.21321150421317,0.14999,16,0.0,0.0,1598062460,,,,0,0.0,3,6.0,19.0,0.0,0.0,29.252712987784907,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,28,0.0,47,403560763182566,1797,12.0,-129.83234150384874,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,12.0,0.0,0.0,0.0,66.7128,C,
1717085142832,60422000000,18,32216794.45985262,-1401120300410999808,0.0,341.39790925488205,-1649.890489113094,0.0,0,32,0.0,47,403560757174817,396,23.58099937438965,-245.18463998923744,0.14999,16,0.0,0.0,1575420030,,,,0,1.6514115622829473,1,6.0,23.58099937438965,0.0,0.0,0.0,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,31,0.0,47,403561765493974,316,24.660999298095703,-504.28896480981155,0.14999,16,0.0,0.0,1575420030,,,,0,4.547624764326348,1,6.0,24.660999298095703,0.0,0.0,0.0,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,10,0.0,47,403561757702790,487,19.663000106811523,3.265190408109053,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.663000106811523,0.0,0.0,0.0,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,26,0.0,47,403561759368093,797,17.124000549316406,-1008.8985856083082,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.124000549316406,0.0,0.0,0.0,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,4,0.0,17,552119,396,17.200000762939453,-425.7049383933134,0.14999,16,0.0,0.0,1605374980,,,,0,1.5737038580371463,3,6.0,17.200000762939453,0.0,0.0,29.983418039806015,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,14,0.0,17,944322,797,17.0,-11.597608095935875,0.14999,16,0.0,0.0,1598062460,,,,0,0.0,3,6.0,17.0,0.0,0.0,29.983418039806015,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,28,0.0,47,403561762182993,1797,13.399999618530273,-124.18615726494961,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.399999618530273,0.0,0.0,0.0,66.7128,C,
1717085143831,61422000000,18,31185277.516220905,-1401120300409999872,0.0,340.9969869560118,-1630.683625139484,0.0,0,32,0.0,47,403561756175623,487,23.535999298095703,-239.1227226128783,0.14999,16,0.0,0.0,1575420030,,,,0,1.6514115622829473,1,6.0,23.535999298095703,0.0,0.0,0.0,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,31,0.0,47,403562764495646,316,24.665000915527344,-497.8170751396025,0.14999,16,0.0,0.0,1575420030,,,,0,4.539421382071625,1,6.0,24.665000915527344,0.0,0.0,0.0,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,10,0.0,47,403562756702792,396,19.743000030517578,10.174067941194414,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.743000030517578,0.0,0.0,0.0,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,26,0.0,47,403562758371446,1797,17.124000549316406,-1002.0432746291136,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.124000549316406,0.0,0.0,0.0,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,4,0.0,17,553511,396,16.799999237060547,-418.99217686062264,0.14999,16,0.0,0.0,1605374980,,,,0,0.0,3,6.0,16.799999237060547,0.0,0.0,29.532952902392257,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,14,0.0,17,944346,797,17.0,-6.152518683050642,0.14999,16,0.0,0.0,1598062460,,,,0,0.0,3,6.0,17.0,0.0,0.0,29.532952902392257,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,28,0.0,47,403562761183395,797,13.399999618530273,-117.25869636538003,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.399999618530273,0.0,0.0,0.0,66.7128,C,
1717085144830,62422000000,18,30048290.941328485,-1401120300408999936,0.0,340.34562182718213,-1608.3782909398035,0.0,0,32,0.0,47,403562755176407,396,23.42300033569336,-232.53824097098303,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,23.42300033569336,0.0,0.0,0.0,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,31,0.0,47,403563762497298,316,24.253000259399414,-492.76644133810623,0.14999,16,0.0,0.0,1575420030,,,,0,3.95621017497835,1,6.0,24.253000259399414,0.0,0.0,0.0,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,10,0.0,47,403563754702736,487,19.79599952697754,15.384704528119757,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.79599952697754,0.0,0.0,0.0,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,26,0.0,47,403563756374778,797,17.124000549316406,-996.4721671908108,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.124000549316406,0.0,0.0,0.0,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,15,0.0,17,87275,487,19.0,-746.9797951731475,0.14999,16,0.0,0.0,1602000000,,,,0,0.0,3,6.0,19.0,0.0,0.0,35.67561528114197,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,4,0.0,17,554898,396,22.0,-414.57946291490197,0.14999,16,0.0,0.0,1605374980,,,,0,2.0341779177965025,3,6.0,22.0,0.0,0.0,35.67561528114197,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,28,0.0,47,403563759183776,797,13.399999618530273,-112.25493910584022,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.399999618530273,0.0,0.0,0.0,66.7128,C,
1717085145829,63422000000,18,29103647.430650175,-1401120300407000064,0.0,339.92479847221716,-1591.7825651634778,0.0,0,32,0.0,47,403563753177174,316,25.18400001525879,-228.2318245387634,0.14999,16,0.0,0.0,1575420030,,,,0,5.305228255011775,1,6.0,25.18400001525879,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,31,0.0,47,403564761498932,396,23.038999557495117,-488.4436715433805,0.14999,16,0.0,0.0,1575420030,,,,0,2.1418987997408805,1,6.0,23.038999557495117,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,10,0.0,47,403564753702675,797,19.847000122070312,19.730053113123827,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.847000122070312,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,26,0.0,47,403564755378089,797,13.5,-991.6589823545665,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.5,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,15,0.0,17,89751,797,17.0,-739.7387234566289,0.14999,16,0.0,0.0,1602000000,,,,0,0.0,3,6.0,17.0,0.0,0.0,40.31195992268181,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,4,0.0,17,556274,396,23.0,-410.1544392534588,0.14999,16,0.0,0.0,1605374980,,,,0,2.7660539633256294,3,6.0,23.0,0.0,0.0,40.31195992268181,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,2,0.0,47,403564751342616,797,16.003999710083008,-430.13431731694465,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.003999710083008,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,28,0.0,47,403564758184159,1797,14.399999618530273,-107.52793463166658,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,14.399999618530273,0.0,0.0,0.0,66.7128,C,
1717085146828,64422000000,18,28575221.862319164,-1401120300406000128,0.0,141.45189687536217,-1576.6830100647137,0.0,0,32,0.0,47,403564752177927,316,24.966999053955078,-223.02827286031015,0.14999,16,0.0,0.0,1575420030,,,,0,4.965285576098572,1,6.0,24.966999053955078,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,31,0.0,47,403565761500552,396,23.1200008392334,-481.86817960502196,0.14999,16,0.0,0.0,1575420030,,,,0,4.539421382071625,1,6.0,23.1200008392334,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,10,0.0,47,403565753702599,797,19.895000457763672,25.52411449082111,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,19.895000457763672,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,26,0.0,47,403565755381386,797,18.347999572753906,-986.4755239411244,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,18.347999572753906,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,4,0.0,17,557636,396,23.0,-404.4227620638474,0.14999,16,0.0,0.0,1605374980,,,,0,2.2230090424533335,3,6.0,23.0,0.0,0.0,40.61439752542121,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,2,0.0,47,403565751344038,797,16.003999710083008,-423.2793780050797,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,16.003999710083008,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,28,0.0,47,403565758184508,1797,14.399999618530273,-101.51273119280712,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,14.399999618530273,0.0,0.0,0.0,66.7128,C,
1717085147828,65422000000,18,28137689.1742887,-1401120300406000128,0.0,138.22718776931026,-1557.0257778859411,0.0,0,32,0.0,47,403565752178664,316,25.416000366210938,-217.58113970566507,0.14999,16,0.0,0.0,1575420030,,,,0,5.6060102161047425,1,6.0,25.416000366210938,0.0,0.0,0.0,66.7128,C,
1717085148828,66422000000,18,27764989.671621427,-1401120300406000128,0.0,138.71914085801538,-1549.2393269661072,0.0,0,31,0.0,47,403566761502154,316,25.840999603271484,-479.446162992718,0.14999,16,0.0,0.0,1575420030,,,,0,6.202700705374859,1,6.0,25.840999603271484,0.0,0.0,0.0,66.7128,C,
